Record,Country,Country Secondary Subdivision,Country Subdivision,Subdivision Name,Postal Code,Address,Local Name,Municipality,Municipality Subdivision,entryPoints_0_functions_0,Latitude,Longtitude,poi_brands_1_name,POI Name,URL,Source,Store Name
533850,United States,Fairfield,CT,Connecticut,06906-1825,"501 Glenbrook Road, Stamford, CT 06906",Stamford,Stamford,Glenbrook-Belltown,,41.07058,-73.52043,,Duke Premier Market,,Azure Maps,
5510,United States,Fairfield,CT,Connecticut,06820-4423,"150 Ledge Road, Darien, CT 06820",Darien,Darien,,,41.07266,-73.47603,,Whole Foods Market,www.wholefoodsmarket.com/stores/darien,Azure Maps,
5410,United States,Fairfield,CT,Connecticut,06906-1313,"495 Hope Street, Stamford, CT 06906",Stamford,Stamford,Glenbrook-Belltown,,41.07644,-73.52287,,Grade A Market Of Hope Street,https://shop.shoprite.com/store/4019645,Azure Maps,
5310,United States,Fairfield,CT,Connecticut,06906-1313,"495 Hope Street, Stamford, CT 06906",Stamford,Stamford,Glenbrook-Belltown,,41.07644,-73.52287,,Grand Union,grandunioncompany.com/home,Azure Maps,
5110,United States,Fairfield,CT,Connecticut,06906-1400,"70 Research Drive, Stamford, CT 06906",Stamford,Stamford,Springdale,,41.07678,-73.51865,,Ionian Food Imp,,Azure Maps,
5010,United States,Fairfield,CT,Connecticut,06906-1400,"70 Research Drive, Stamford, CT 06906",Stamford,Stamford,Springdale,,41.07678,-73.51865,,One Root Foods,,Azure Maps,
4710,United States,Fairfield,CT,Connecticut,,"25 Old Kings Hwy N, Darien, CT 06820",Darien,Darien,,,41.07838,-73.4663,,Gloval Pet Foods,,Azure Maps,
4810,United States,Fairfield,CT,Connecticut,,"25 Old Kings Hwy N, Darien, CT 06820",Darien,Darien,,,41.07838,-73.4663,,Stop & Shop,www.stopandshop.com,Azure Maps,
583850,United States,Fairfield,CT,Connecticut,06905-3000,"225 High Ridge Road, Stamford, CT 06905",Stamford,Stamford,Ridgeway-Bulls Head,,41.07876,-73.55002,,Nestle Waters North America,,Azure Maps,
5311533,United States,Fairfield,CT,Connecticut,06854-4704,"11 Dock Road, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08139,-73.41742,,Felicia Foods,,Azure Maps,
4210,United States,Fairfield,CT,Connecticut,06820-4730,"70 Old Kings Highway North, Darien, CT 06820",Darien,Darien,,,41.08183,-73.46388,,Lewis Foods,,Azure Maps,
5111533,United States,Fairfield,CT,Connecticut,06854-4729,"155 Woodward Avenue, Norwalk, CT 06854",Norwalk,Norwalk,,,41.08306,-73.41545,,Ola Foods,www.olafoods.com,Azure Maps,
